"id","QtySold","Price","Advertised","Holiday","Date","Product"
"65","5","2.99","0","0","17-Oct-04","Sun-dried tomato multigrain chips"
"66","5","0.99","0","0","17-Oct-04","Tortilla chips"
"67","4","1.99","0","0","17-Oct-04","WOW cheese puffs"
"68","3","2.99","0","0","17-Oct-04","WOW potato chips"
"69","7","2.49","1","0","17-Oct-04","WOW tortilla chips"
"70","0","3.49","0","0","17-Oct-04","Wheat crackers"
"71","0","1.99","0","0","16-Oct-04","Baked potato chips"
"72","5","1.99","0","0","16-Oct-04","Barbeque pork rinds"
"73","15","1.99","0","0","16-Oct-04","Barbeque potato chips"
"74","3","2.99","0","0","16-Oct-04","Bread sticks"
"75","7","1.99","0","0","16-Oct-04","Buttery popcorn"
"76","1","2.99","0","0","16-Oct-04","Carmelized popcorn"
"77","4","1.99","0","0","16-Oct-04","Cheddar cheese break sticks"
"78","3","2.49","1","0","16-Oct-04","Cheddar cheese popcorn"
"79","13","1.49","0","0","16-Oct-04","Cheese puffs"
"80","42","0.99","0","0","16-Oct-04","Classic potato chips"
"81","8","1.99","0","0","16-Oct-04","Easy dip tortilla chips"
"82","35","0.99","0","0","16-Oct-04","Extra hot pork rinds"
"83","2","2.99","0","0","16-Oct-04","Fiesta sticks"
"84","7","1.49","0","0","16-Oct-04","Fried pork rinds"
"85","8","2.49","0","0","16-Oct-04","Hot spicy cheese puffs"
"86","1","2.49","0","0","16-Oct-04","Jalepeno sticks"
"87","0","2.49","0","0","16-Oct-04","Jumbo pretzel sticks"
"88","8","1.49","0","0","16-Oct-04","Low-fat popcorn"
"89","11","1.49","0","0","16-Oct-04","Low-fat saltines"
"90","4","2.49","1","0","16-Oct-04","Multigrain chips"
"91","2","1.99","0","0","16-Oct-04","Pepper sticks"
"92","0","0.99","0","0","16-Oct-04","Pretzel sticks"
"93","1","2.49","0","0","16-Oct-04","Pretzel twists"
"94","4","1.99","0","0","16-Oct-04","Ruffled potato chips"
"95","10","0.99","0","0","16-Oct-04","Rye crackers"
"96","11","2.49","1","0","16-Oct-04","Salt and vinegar potato chips"
"97","1","2.99","0","0","16-Oct-04","Saltine crackers"
"98","7","2.99","0","0","16-Oct-04","Shredded wheat crackers"
"99","1","2.99","0","0","16-Oct-04","Stone-ground wheat sticks"
"100","4","2.99","0","0","16-Oct-04","Sun-dried tomato multigrain chips"
"101","10","0.99","0","0","16-Oct-04","Tortilla chips"
"102","5","1.99","0","0","16-Oct-04","WOW cheese puffs"
"103","3","2.99","0","0","16-Oct-04","WOW potato chips"
"104","1","2.49","1","0","16-Oct-04","WOW tortilla chips"
"105","9","3.49","0","0","16-Oct-04","Wheat crackers"
"106","0","1.99","0","0","15-Oct-04","Baked potato chips"
"107","5","1.99","0","0","15-Oct-04","Barbeque pork rinds"
"108","6","1.99","0","0","15-Oct-04","Barbeque potato chips"
"109","5","2.99","0","0","15-Oct-04","Bread sticks"
"110","3","1.99","0","0","15-Oct-04","Buttery popcorn"
"111","4","2.99","0","0","15-Oct-04","Carmelized popcorn"
"112","0","1.99","0","0","15-Oct-04","Cheddar cheese break sticks"
"113","6","2.49","1","0","15-Oct-04","Cheddar cheese popcorn"
"114","5","1.49","0","0","15-Oct-04","Cheese puffs"
"115","42","0.99","0","0","15-Oct-04","Classic potato chips"
"116","6","1.99","0","0","15-Oct-04","Easy dip tortilla chips"
"117","38","0.99","0","0","15-Oct-04","Extra hot pork rinds"
"118","0","2.99","0","0","15-Oct-04","Fiesta sticks"
"119","3","1.49","0","0","15-Oct-04","Fried pork rinds"
"120","3","2.49","0","0","15-Oct-04","Hot spicy cheese puffs"
"121","0","2.49","0","0","15-Oct-04","Jalepeno sticks"
"122","0","2.49","0","0","15-Oct-04","Jumbo pretzel sticks"
"123","5","1.49","0","0","15-Oct-04","Low-fat popcorn"
"124","4","1.49","0","0","15-Oct-04","Low-fat saltines"
"125","6","2.49","1","0","15-Oct-04","Multigrain chips"
"126","1","1.99","0","0","15-Oct-04","Pepper sticks"
"127","3","0.99","0","0","15-Oct-04","Pretzel sticks"
"128","2","2.49","0","0","15-Oct-04","Pretzel twists"
"129","6","1.99","0","0","15-Oct-04","Ruffled potato chips"
"130","3","0.99","0","0","15-Oct-04","Rye crackers"
"131","15","2.49","1","0","15-Oct-04","Salt and vinegar potato chips"
"132","1","2.99","0","0","15-Oct-04","Saltine crackers"
"133","8","2.99","0","0","15-Oct-04","Shredded wheat crackers"
"134","1","2.99","0","0","15-Oct-04","Stone-ground wheat sticks"
"135","0","2.99","0","0","15-Oct-04","Sun-dried tomato multigrain chips"
"136","10","0.99","0","0","15-Oct-04","Tortilla chips"
"137","5","1.99","0","0","15-Oct-04","WOW cheese puffs"
"138","0","2.99","0","0","15-Oct-04","WOW potato chips"
"139","2","2.49","1","0","15-Oct-04","WOW tortilla chips"
"140","2","3.49","0","0","15-Oct-04","Wheat crackers"
"141","0","1.99","0","0","14-Oct-04","Baked potato chips"
"142","3","1.99","0","0","14-Oct-04","Barbeque pork rinds"
"143","5","1.99","0","0","14-Oct-04","Barbeque potato chips"
"144","2","2.99","0","0","14-Oct-04","Bread sticks"
"145","6","1.99","0","0","14-Oct-04","Buttery popcorn"
"146","1","2.99","0","0","14-Oct-04","Carmelized popcorn"
"147","0","1.99","0","0","14-Oct-04","Cheddar cheese break sticks"
"148","4","2.49","1","0","14-Oct-04","Cheddar cheese popcorn"
"149","10","1.49","0","0","14-Oct-04","Cheese puffs"
"150","21","0.99","0","0","14-Oct-04","Classic potato chips"
"151","6","1.99","0","0","14-Oct-04","Easy dip tortilla chips"
"152","3","0.99","0","0","14-Oct-04","Extra hot pork rinds"
"153","0","2.99","0","0","14-Oct-04","Fiesta sticks"
"154","6","1.49","0","0","14-Oct-04","Fried pork rinds"
"155","0","2.49","0","0","14-Oct-04","Hot spicy cheese puffs"
"156","0","2.49","0","0","14-Oct-04","Jalepeno sticks"
"157","0","2.49","0","0","14-Oct-04","Jumbo pretzel sticks"
"158","5","1.49","0","0","14-Oct-04","Low-fat popcorn"
"159","5","1.49","0","0","14-Oct-04","Low-fat saltines"
"160","1","2.49","1","0","14-Oct-04","Multigrain chips"
"161","2","1.99","0","0","14-Oct-04","Pepper sticks"
"162","2","0.99","0","0","14-Oct-04","Pretzel sticks"
"163","0","2.49","0","0","14-Oct-04","Pretzel twists"
"164","6","1.99","0","0","14-Oct-04","Ruffled potato chips"
"165","2","0.99","0","0","14-Oct-04","Rye crackers"
"166","3","2.49","1","0","14-Oct-04","Salt and vinegar potato chips"
"167","2","2.99","0","0","14-Oct-04","Saltine crackers"
"168","0","2.99","0","0","14-Oct-04","Shredded wheat crackers"
"169","1","2.99","0","0","14-Oct-04","Stone-ground wheat sticks"
"170","5","2.99","0","0","14-Oct-04","Sun-dried tomato multigrain chips"
"171","13","0.99","0","0","14-Oct-04","Tortilla chips"
"172","3","1.99","0","0","14-Oct-04","WOW cheese puffs"
"173","1","2.99","0","0","14-Oct-04","WOW potato chips"
"174","2","2.49","1","0","14-Oct-04","WOW tortilla chips"
"175","0","3.49","0","0","14-Oct-04","Wheat crackers"
"176","0","1.99","0","0","13-Oct-04","Baked potato chips"
"177","4","1.99","0","0","13-Oct-04","Barbeque pork rinds"
"178","11","1.99","0","0","13-Oct-04","Barbeque potato chips"
"179","0","2.49","0","0","13-Oct-04","Bread sticks"
"180","5","1.99","0","0","13-Oct-04","Buttery popcorn"
"181","2","2.99","0","0","13-Oct-04","Carmelized popcorn"
"182","0","1.99","0","0","13-Oct-04","Cheddar cheese break sticks"
"183","1","2.49","1","0","13-Oct-04","Cheddar cheese popcorn"
"184","4","1.49","0","0","13-Oct-04","Cheese puffs"
"185","20","0.99","0","0","13-Oct-04","Classic potato chips"
"186","8","1.99","0","0","13-Oct-04","Easy dip tortilla chips"
"187","14","0.99","0","0","13-Oct-04","Extra hot pork rinds"
"188","0","2.99","0","0","13-Oct-04","Fiesta sticks"
"189","5","1.49","0","0","13-Oct-04","Fried pork rinds"
"190","0","2.49","0","0","13-Oct-04","Hot spicy cheese puffs"
"191","0","2.49","0","0","13-Oct-04","Jalepeno sticks"
"192","0","2.49","0","0","13-Oct-04","Jumbo pretzel sticks"
"193","6","1.49","0","0","13-Oct-04","Low-fat popcorn"
"194","11","1.49","0","0","13-Oct-04","Low-fat saltines"
"195","2","2.49","1","0","13-Oct-04","Multigrain chips"
"196","2","1.99","0","0","13-Oct-04","Pepper sticks"
"197","1","0.99","0","0","13-Oct-04","Pretzel sticks"
"198","2","2.49","0","0","13-Oct-04","Pretzel twists"
"199","4","1.99","0","0","13-Oct-04","Ruffled potato chips"
"200","2","0.99","0","0","13-Oct-04","Rye crackers"
"201","5","2.49","1","0","13-Oct-04","Salt and vinegar potato chips"
"202","2","2.99","0","0","13-Oct-04","Saltine crackers"
"203","0","2.99","0","0","13-Oct-04","Shredded wheat crackers"
"204","0","2.99","0","0","13-Oct-04","Stone-ground wheat sticks"
"205","8","2.99","0","0","13-Oct-04","Sun-dried tomato multigrain chips"
"206","7","0.99","0","0","13-Oct-04","Tortilla chips"
"207","8","1.99","0","0","13-Oct-04","WOW cheese puffs"
"208","2","2.99","0","0","13-Oct-04","WOW potato chips"
"209","1","2.49","1","0","13-Oct-04","WOW tortilla chips"
"210","0","3.49","0","0","13-Oct-04","Wheat crackers"
"211","0","1.99","0","0","12-Oct-04","Baked potato chips"
"212","2","1.99","0","0","12-Oct-04","Barbeque pork rinds"
"213","4","1.99","0","0","12-Oct-04","Barbeque potato chips"
"214","0","2.49","0","0","12-Oct-04","Bread sticks"
"215","6","1.99","0","0","12-Oct-04","Buttery popcorn"
"216","2","2.99","0","0","12-Oct-04","Carmelized popcorn"
"217","2","1.99","0","0","12-Oct-04","Cheddar cheese break sticks"
"218","0","2.99","0","0","12-Oct-04","Cheddar cheese popcorn"
"219","3","1.49","1","0","12-Oct-04","Cheese puffs"
"220","20","0.99","0","0","12-Oct-04","Classic potato chips"
"221","3","1.99","0","0","12-Oct-04","Easy dip tortilla chips"
"222","15","0.99","0","0","12-Oct-04","Extra hot pork rinds"
"223","0","2.99","0","0","12-Oct-04","Fiesta sticks"
"224","3","1.49","1","0","12-Oct-04","Fried pork rinds"
"225","0","2.49","0","0","12-Oct-04","Hot spicy cheese puffs"
"226","0","2.49","0","0","12-Oct-04","Jalepeno sticks"
"227","0","2.49","0","0","12-Oct-04","Jumbo pretzel sticks"
"228","2","1.49","1","0","12-Oct-04","Low-fat popcorn"
"229","5","1.49","0","0","12-Oct-04","Low-fat saltines"
"230","0","2.99","0","0","12-Oct-04","Multigrain chips"
"231","2","1.99","0","0","12-Oct-04","Pepper sticks"
"232","2","0.99","1","0","12-Oct-04","Pretzel sticks"
"233","3","2.49","0","0","12-Oct-04","Pretzel twists"
"234","9","1.99","0","0","12-Oct-04","Ruffled potato chips"
"235","4","0.99","0","0","12-Oct-04","Rye crackers"
"236","1","2.99","0","0","12-Oct-04","Salt and vinegar potato chips"
"237","1","2.99","0","0","12-Oct-04","Saltine crackers"
"238","0","2.99","0","0","12-Oct-04","Shredded wheat crackers"
"239","4","2.99","0","0","12-Oct-04","Stone-ground wheat sticks"
"240","2","2.99","0","0","12-Oct-04","Sun-dried tomato multigrain chips"
"241","7","0.99","0","0","12-Oct-04","Tortilla chips"
"242","4","1.99","0","0","12-Oct-04","WOW cheese puffs"
"243","0","2.99","0","0","12-Oct-04","WOW potato chips"
"244","2","2.99","0","0","12-Oct-04","WOW tortilla chips"
"245","0","3.49","0","0","12-Oct-04","Wheat crackers"
"246","0","1.99","0","0","11-Oct-04","Baked potato chips"
"247","4","1.99","0","0","11-Oct-04","Barbeque pork rinds"
"248","0","1.99","0","0","11-Oct-04","Barbeque potato chips"
"249","6","2.49","1","0","11-Oct-04","Bread sticks"
"250","8","1.99","0","0","11-Oct-04","Buttery popcorn"
"251","5","2.99","0","0","11-Oct-04","Carmelized popcorn"
"252","1","1.99","0","0","11-Oct-04","Cheddar cheese break sticks"
"253","2","2.99","0","0","11-Oct-04","Cheddar cheese popcorn"
"254","7","1.49","1","0","11-Oct-04","Cheese puffs"
"255","18","0.99","0","0","11-Oct-04","Classic potato chips"
"256","8","1.99","0","0","11-Oct-04","Easy dip tortilla chips"
"257","19","0.99","0","0","11-Oct-04","Extra hot pork rinds"
"258","0","2.99","0","0","11-Oct-04","Fiesta sticks"
"259","5","1.49","1","0","11-Oct-04","Fried pork rinds"
"260","2","2.49","0","0","11-Oct-04","Hot spicy cheese puffs"
"261","1","2.49","0","0","11-Oct-04","Jalepeno sticks"
"262","0","2.49","0","0","11-Oct-04","Jumbo pretzel sticks"
"263","9","1.49","1","0","11-Oct-04","Low-fat popcorn"
"264","17","1.49","0","0","11-Oct-04","Low-fat saltines"
"265","4","2.99","0","0","11-Oct-04","Multigrain chips"
"266","2","1.99","0","0","11-Oct-04","Pepper sticks"
"267","4","0.99","1","0","11-Oct-04","Pretzel sticks"
"268","2","2.49","0","0","11-Oct-04","Pretzel twists"
"269","4","1.99","0","0","11-Oct-04","Ruffled potato chips"
"270","7","0.99","0","0","11-Oct-04","Rye crackers"
"271","6","2.99","0","0","11-Oct-04","Salt and vinegar potato chips"
"272","1","2.99","0","0","11-Oct-04","Saltine crackers"
"273","0","2.99","0","0","11-Oct-04","Shredded wheat crackers"
"274","1","2.99","0","0","11-Oct-04","Stone-ground wheat sticks"
"275","1","2.99","0","0","11-Oct-04","Sun-dried tomato multigrain chips"
"276","10","0.99","0","0","11-Oct-04","Tortilla chips"
"277","4","1.99","0","0","11-Oct-04","WOW cheese puffs"
"278","4","2.99","0","0","11-Oct-04","WOW potato chips"
"279","1","2.99","0","0","11-Oct-04","WOW tortilla chips"
"280","0","3.49","0","0","11-Oct-04","Wheat crackers"
"281","0","1.99","0","0","10-Oct-04","Baked potato chips"
"282","4","1.99","0","0","10-Oct-04","Barbeque pork rinds"
"283","11","1.99","0","0","10-Oct-04","Barbeque potato chips"
"284","10","2.49","1","0","10-Oct-04","Bread sticks"
"285","10","1.99","0","0","10-Oct-04","Buttery popcorn"
"286","6","2.99","0","0","10-Oct-04","Carmelized popcorn"
"287","1","1.99","0","0","10-Oct-04","Cheddar cheese break sticks"
"288","5","2.99","0","0","10-Oct-04","Cheddar cheese popcorn"
"289","11","1.49","1","0","10-Oct-04","Cheese puffs"
"290","40","0.99","0","0","10-Oct-04","Classic potato chips"
"291","8","1.99","0","0","10-Oct-04","Easy dip tortilla chips"
"292","11","0.99","0","0","10-Oct-04","Extra hot pork rinds"
"293","0","2.99","0","0","10-Oct-04","Fiesta sticks"
"294","6","1.49","1","0","10-Oct-04","Fried pork rinds"
"295","4","2.49","0","0","10-Oct-04","Hot spicy cheese puffs"
"296","1","2.49","0","0","10-Oct-04","Jalepeno sticks"
"297","0","2.49","0","0","10-Oct-04","Jumbo pretzel sticks"
"298","9","1.49","1","0","10-Oct-04","Low-fat popcorn"
"299","5","1.49","0","0","10-Oct-04","Low-fat saltines"
"300","4","2.99","0","0","10-Oct-04","Multigrain chips"
"301","1","1.99","0","0","10-Oct-04","Pepper sticks"
"302","4","0.99","1","0","10-Oct-04","Pretzel sticks"
"303","2","2.49","0","0","10-Oct-04","Pretzel twists"
"304","3","1.99","0","0","10-Oct-04","Ruffled potato chips"
"305","5","0.99","0","0","10-Oct-04","Rye crackers"
"306","4","2.99","0","0","10-Oct-04","Salt and vinegar potato chips"
"307","0","2.99","0","0","10-Oct-04","Saltine crackers"
"308","3","2.99","0","0","10-Oct-04","Shredded wheat crackers"
"309","2","2.99","0","0","10-Oct-04","Stone-ground wheat sticks"
"310","4","2.99","0","0","10-Oct-04","Sun-dried tomato multigrain chips"
"311","10","0.99","0","0","10-Oct-04","Tortilla chips"
"312","2","1.99","0","0","10-Oct-04","WOW cheese puffs"
"313","4","2.99","0","0","10-Oct-04","WOW potato chips"
"314","1","2.99","0","0","10-Oct-04","WOW tortilla chips"
"315","5","3.49","0","0","10-Oct-04","Wheat crackers"
"316","0","1.99","0","0","09-Oct-04","Baked potato chips"
"317","3","1.99","0","0","09-Oct-04","Barbeque pork rinds"
"318","9","1.99","0","0","09-Oct-04","Barbeque potato chips"
"319","5","2.49","1","0","09-Oct-04","Bread sticks"
"320","5","1.99","0","0","09-Oct-04","Buttery popcorn"
"321","3","2.99","0","0","09-Oct-04","Carmelized popcorn"
"322","4","1.99","0","0","09-Oct-04","Cheddar cheese break sticks"
"323","2","2.99","0","0","09-Oct-04","Cheddar cheese popcorn"
"324","9","1.49","1","0","09-Oct-04","Cheese puffs"
"325","52","0.99","0","0","09-Oct-04","Classic potato chips"
"326","8","1.99","0","0","09-Oct-04","Easy dip tortilla chips"
"327","37","0.99","0","0","09-Oct-04","Extra hot pork rinds"
"328","0","2.99","0","0","09-Oct-04","Fiesta sticks"
"329","11","1.49","1","0","09-Oct-04","Fried pork rinds"
"330","4","2.49","0","0","09-Oct-04","Hot spicy cheese puffs"
"331","1","2.49","0","0","09-Oct-04","Jalepeno sticks"
"332","0","2.49","0","0","09-Oct-04","Jumbo pretzel sticks"
"333","8","1.49","1","0","09-Oct-04","Low-fat popcorn"
"334","14","1.49","0","0","09-Oct-04","Low-fat saltines"
"335","6","2.99","0","0","09-Oct-04","Multigrain chips"
"336","5","1.99","0","0","09-Oct-04","Pepper sticks"
"337","6","0.99","1","0","09-Oct-04","Pretzel sticks"
"338","1","2.49","0","0","09-Oct-04","Pretzel twists"
"339","2","1.99","0","0","09-Oct-04","Ruffled potato chips"
"340","5","0.99","0","0","09-Oct-04","Rye crackers"
"341","4","2.99","0","0","09-Oct-04","Salt and vinegar potato chips"
"342","3","2.99","0","0","09-Oct-04","Saltine crackers"
"343","2","2.99","0","0","09-Oct-04","Shredded wheat crackers"
"344","0","2.99","0","0","09-Oct-04","Stone-ground wheat sticks"
"345","3","2.99","0","0","09-Oct-04","Sun-dried tomato multigrain chips"
"346","10","0.99","0","0","09-Oct-04","Tortilla chips"
"347","9","1.99","0","0","09-Oct-04","WOW cheese puffs"
"348","0","2.99","0","0","09-Oct-04","WOW potato chips"
"349","1","2.99","0","0","09-Oct-04","WOW tortilla chips"
"350","3","3.49","0","0","09-Oct-04","Wheat crackers"
"351","0","1.99","0","0","08-Oct-04","Baked potato chips"
"352","5","1.99","0","0","08-Oct-04","Barbeque pork rinds"
"353","6","1.99","0","0","08-Oct-04","Barbeque potato chips"
"354","11","2.49","1","0","08-Oct-04","Bread sticks"
"355","5","1.99","0","0","08-Oct-04","Buttery popcorn"
"356","3","2.99","0","0","08-Oct-04","Carmelized popcorn"
"357","1","1.99","0","0","08-Oct-04","Cheddar cheese break sticks"
"358","1","2.99","0","0","08-Oct-04","Cheddar cheese popcorn"
"359","14","1.49","1","0","08-Oct-04","Cheese puffs"
"360","20","0.99","0","0","08-Oct-04","Classic potato chips"
"361","4","1.99","0","0","08-Oct-04","Easy dip tortilla chips"
"362","22","0.99","0","0","08-Oct-04","Extra hot pork rinds"
"363","0","2.99","0","0","08-Oct-04","Fiesta sticks"
"364","6","1.49","1","0","08-Oct-04","Fried pork rinds"
"365","3","2.49","0","0","08-Oct-04","Hot spicy cheese puffs"
"366","0","2.49","0","0","08-Oct-04","Jalepeno sticks"
"367","0","2.49","0","0","08-Oct-04","Jumbo pretzel sticks"
"368","8","1.49","1","0","08-Oct-04","Low-fat popcorn"
"369","3","1.49","0","0","08-Oct-04","Low-fat saltines"
"370","3","2.99","0","0","08-Oct-04","Multigrain chips"
"371","0","1.99","0","0","08-Oct-04","Pepper sticks"
"372","3","0.99","1","0","08-Oct-04","Pretzel sticks"
"373","1","2.49","0","0","08-Oct-04","Pretzel twists"
"374","8","1.99","0","0","08-Oct-04","Ruffled potato chips"
"375","6","0.99","0","0","08-Oct-04","Rye crackers"
"376","4","2.99","0","0","08-Oct-04","Salt and vinegar potato chips"
"377","0","2.99","0","0","08-Oct-04","Saltine crackers"
"378","6","2.99","0","0","08-Oct-04","Shredded wheat crackers"
"379","0","2.99","0","0","08-Oct-04","Stone-ground wheat sticks"
"380","5","2.99","0","0","08-Oct-04","Sun-dried tomato multigrain chips"
"381","11","0.99","0","0","08-Oct-04","Tortilla chips"
"382","3","1.99","0","0","08-Oct-04","WOW cheese puffs"
"383","3","2.99","0","0","08-Oct-04","WOW potato chips"
"384","1","2.99","0","0","08-Oct-04","WOW tortilla chips"
"385","6","3.49","0","0","08-Oct-04","Wheat crackers"
"386","0","1.99","0","0","07-Oct-04","Baked potato chips"
"387","3","1.99","0","0","07-Oct-04","Barbeque pork rinds"
"388","8","1.99","0","0","07-Oct-04","Barbeque potato chips"
"389","4","2.49","1","0","07-Oct-04","Bread sticks"
"390","3","1.99","0","0","07-Oct-04","Buttery popcorn"
"391","1","2.99","0","0","07-Oct-04","Carmelized popcorn"
"392","1","1.99","0","0","07-Oct-04","Cheddar cheese break sticks"
"393","2","2.99","0","0","07-Oct-04","Cheddar cheese popcorn"
"394","9","1.49","1","0","07-Oct-04","Cheese puffs"
"395","20","0.99","0","0","07-Oct-04","Classic potato chips"
"396","7","1.99","0","0","07-Oct-04","Easy dip tortilla chips"
"397","8","0.99","0","0","07-Oct-04","Extra hot pork rinds"
"398","1","2.99","0","0","07-Oct-04","Fiesta sticks"
"399","5","1.49","1","0","07-Oct-04","Fried pork rinds"
"400","0","2.49","0","0","07-Oct-04","Hot spicy cheese puffs"
"401","2","2.49","0","0","07-Oct-04","Jalepeno sticks"
"402","0","2.49","0","0","07-Oct-04","Jumbo pretzel sticks"
"403","6","1.49","1","0","07-Oct-04","Low-fat popcorn"
"404","3","1.49","0","0","07-Oct-04","Low-fat saltines"
"405","3","2.99","0","0","07-Oct-04","Multigrain chips"
"406","6","1.99","0","0","07-Oct-04","Pepper sticks"
"407","4","0.99","1","0","07-Oct-04","Pretzel sticks"
"408","1","2.49","0","0","07-Oct-04","Pretzel twists"
"409","4","1.99","0","0","07-Oct-04","Ruffled potato chips"
"410","2","0.99","0","0","07-Oct-04","Rye crackers"
"411","3","2.99","0","0","07-Oct-04","Salt and vinegar potato chips"
"412","3","2.99","0","0","07-Oct-04","Saltine crackers"
"413","0","2.99","0","0","07-Oct-04","Shredded wheat crackers"
"414","0","2.99","0","0","07-Oct-04","Stone-ground wheat sticks"
"415","3","2.99","0","0","07-Oct-04","Sun-dried tomato multigrain chips"
"416","3","0.99","0","0","07-Oct-04","Tortilla chips"
"417","4","1.99","0","0","07-Oct-04","WOW cheese puffs"
"418","4","2.99","0","0","07-Oct-04","WOW potato chips"
"419","0","2.99","0","0","07-Oct-04","WOW tortilla chips"
"420","0","3.49","0","0","07-Oct-04","Wheat crackers"
"421","0","1.99","0","0","06-Oct-04","Baked potato chips"
"422","4","1.99","0","0","06-Oct-04","Barbeque pork rinds"
"423","5","1.99","0","0","06-Oct-04","Barbeque potato chips"
"424","4","2.49","1","0","06-Oct-04","Bread sticks"
"425","4","1.99","0","0","06-Oct-04","Buttery popcorn"
"426","1","2.99","0","0","06-Oct-04","Carmelized popcorn"
"427","0","1.99","0","0","06-Oct-04","Cheddar cheese break sticks"
"428","4","2.99","0","0","06-Oct-04","Cheddar cheese popcorn"
"429","6","1.49","1","0","06-Oct-04","Cheese puffs"
"430","22","0.99","0","0","06-Oct-04","Classic potato chips"
"431","7","1.99","0","0","06-Oct-04","Easy dip tortilla chips"
"432","3","0.99","0","0","06-Oct-04","Extra hot pork rinds"
"433","1","2.99","0","0","06-Oct-04","Fiesta sticks"
"434","11","1.49","1","0","06-Oct-04","Fried pork rinds"
"435","4","2.49","0","0","06-Oct-04","Hot spicy cheese puffs"
"436","3","2.49","0","0","06-Oct-04","Jalepeno sticks"
